                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                0.06827,                0.74204,                0.85335,                0.49855,                      1,                0.53182,                0.53176,                0.07118,                0.74292,                0.36338,             0.00080883,             0.00080883,             0.00080883
                    106,                0.06773,                0.74564,                0.85898,                0.49613,                      1,                0.54783,                0.54627,                0.08212,                0.72656,                0.37215,             0.00080058,             0.00080058,             0.00080058
                    107,                0.06928,                0.74957,                0.86103,                0.49861,                      1,                0.54002,                0.54002,                0.11564,                 0.7531,                0.39819,             0.00079233,             0.00079233,             0.00079233
                    108,                0.06622,                 0.7419,                0.85689,                 0.4986,                      1,                0.53748,                0.53744,                0.10388,                0.75763,                0.39184,             0.00078407,             0.00078407,             0.00078407
                    109,                0.07127,                0.74486,                0.85795,                0.49976,                      1,                0.53841,                 0.5384,                0.10249,                0.75276,                0.39121,             0.00077582,             0.00077582,             0.00077582
                    110,                0.07563,                 0.7522,                0.85778,                 0.4997,                      1,                0.52786,                0.52622,                0.09189,                 0.7327,                0.37561,             0.00076757,             0.00076757,             0.00076757
                    111,                 0.0708,                0.74442,                0.85456,                0.49983,                      1,                0.53233,                0.53201,                0.07489,                0.75665,                 0.3658,             0.00075932,             0.00075932,             0.00075932
                    112,                0.06557,                0.73941,                0.85729,                0.49968,                      1,                0.52114,                0.52114,                0.10609,                0.76625,                0.38637,             0.00075107,             0.00075107,             0.00075107
                    113,                0.06567,                0.74035,                0.85846,                0.49867,                      1,                0.52328,                0.52314,                0.11933,                0.76772,                0.40302,             0.00074282,             0.00074282,             0.00074282
                    114,                0.06501,                 0.7391,                0.86473,                0.49857,                      1,                0.53395,                0.53376,                0.07168,                0.72438,                0.36435,             0.00073456,             0.00073456,             0.00073456
                    115,                0.06618,                0.73946,                0.85135,                0.49863,                      1,                0.52851,                0.52808,                 0.0627,                0.72297,                0.35958,             0.00072631,             0.00072631,             0.00072631
                    116,                0.06374,                0.74323,                0.85712,                0.49865,                      1,                0.52939,                0.52938,                0.05909,                0.72542,                0.35708,             0.00071806,             0.00071806,             0.00071806
                    117,                0.06407,                0.74085,                0.85898,                0.49866,                      1,                0.51925,                0.51783,                 0.0861,                0.73838,                 0.3744,             0.00070981,             0.00070981,             0.00070981
                    118,                0.06402,                0.74107,                  0.856,                0.49912,                      1,                0.51637,                0.51635,                0.07764,                0.74699,                0.36839,             0.00070156,             0.00070156,             0.00070156
                    119,                0.06254,                0.74372,                0.85506,                0.49862,                      1,                  0.522,                0.52104,                0.09666,                0.76058,                0.38666,             0.00069331,             0.00069331,             0.00069331
                    120,                 0.0604,                0.73989,                0.85436,                 0.4991,                      1,                0.52005,                0.52005,                0.11406,                 0.7447,                0.39925,             0.00068505,             0.00068505,             0.00068505
                    121,                0.06399,                0.73808,                 0.8554,                0.49949,                      1,                0.53115,                0.53011,                0.09539,                0.74527,                0.38428,              0.0006768,              0.0006768,              0.0006768
                    122,                0.06185,                0.74254,                0.85828,                0.49864,                      1,                  0.518,                0.51797,                0.11683,                0.76181,                0.40055,             0.00066855,             0.00066855,             0.00066855
                    123,                0.05901,                0.74119,                0.85476,                0.49864,                      1,                0.52773,                0.52765,                0.08567,                0.76348,                0.37352,              0.0006603,              0.0006603,              0.0006603
                    124,                0.05912,                0.74042,                0.85938,                0.49867,                      1,                0.53326,                0.53227,                0.07465,                0.74323,                0.36494,             0.00065205,             0.00065205,             0.00065205
                    125,                0.06242,                0.73901,                0.85623,                0.49863,                      1,                0.52948,                0.52858,                0.06919,                0.72784,                 0.3608,              0.0006438,              0.0006438,              0.0006438
                    126,                0.06304,                 0.7449,                0.85666,                0.49892,                      1,                0.52999,                0.52999,                0.06314,                 0.7379,                0.35873,             0.00063554,             0.00063554,             0.00063554
                    127,                0.06196,                0.74239,                0.86054,                0.49927,                      1,                0.54188,                0.54188,                 0.0547,                0.71428,                0.35326,             0.00062729,             0.00062729,             0.00062729
                    128,                0.05999,                0.74182,                0.85958,                0.49963,                      1,                0.54129,                0.54129,                0.05162,                0.71443,                0.35283,             0.00061904,             0.00061904,             0.00061904
                    129,                0.08369,                0.75994,                0.90194,                0.49971,                      1,                0.53153,                0.53153,                0.06231,                0.75885,                0.35817,             0.00061079,             0.00061079,             0.00061079
                    130,                 0.0631,                0.73857,                0.86217,                0.49983,                      1,                0.55135,                0.55134,                0.05915,                0.71772,                0.35166,             0.00060254,             0.00060254,             0.00060254
                    131,                0.06263,                0.74333,                0.85818,                0.49984,                      1,                0.53507,                0.53507,                0.05525,                0.71501,                0.35187,             0.00059429,             0.00059429,             0.00059429
