                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.08823,                0.75169,                 0.8601,                0.49831,                0.99716,                0.51712,                0.51583,                0.08926,                0.92832,                0.77986,              0.0010399,              0.0010399,              0.0010399
                     78,                0.09063,                0.75218,                0.86883,                  0.497,                0.99769,                0.51085,                0.51035,                0.07126,                0.80166,                0.76693,              0.0010316,              0.0010316,              0.0010316
                     79,                0.08436,                0.74433,                0.86802,                0.49815,                 0.9933,                0.52107,                0.52106,                0.05401,                0.73462,                0.80657,              0.0010234,              0.0010234,              0.0010234
                     80,                0.07722,                 0.7408,                0.85941,                0.49978,                      1,                0.53774,                0.53774,                0.04783,                  0.721,                0.85322,              0.0010151,              0.0010151,              0.0010151
                     81,                0.10127,                0.76391,                0.89545,                0.49934,                      1,                0.52916,                0.52916,                0.05239,                0.72977,                0.84899,              0.0010069,              0.0010069,              0.0010069
                     82,                0.08037,                0.74191,                0.85778,                0.49802,                      1,                0.52689,                0.52547,                0.05853,                0.73789,                0.81231,             0.00099862,             0.00099862,             0.00099862
                     83,                0.08195,                0.74476,                0.86449,                0.49692,                      1,                0.54831,                0.54615,                0.09942,                0.75492,                0.57497,             0.00099036,             0.00099036,             0.00099036
                     84,                0.11818,                0.76622,                0.89271,                0.49759,                0.99723,                0.53529,                 0.5338,                0.08266,                0.75452,                  0.613,             0.00098211,             0.00098211,             0.00098211
                     85,                 0.0795,                0.74609,                0.86658,                0.48963,                0.96801,                0.52755,                0.52742,                0.08861,                0.90787,                0.77753,             0.00097386,             0.00097386,             0.00097386
                     86,                0.07892,                0.74429,                0.86414,                0.49946,                      1,                0.50672,                0.50672,                0.05492,                 0.7345,                 0.7675,             0.00096561,             0.00096561,             0.00096561
                     87,                0.07415,                0.74065,                0.86651,                0.49559,                0.99407,                0.51168,                0.51104,                0.05986,                0.75179,                0.79377,             0.00095736,             0.00095736,             0.00095736
                     88,                0.07041,                 0.7399,                 0.8657,                0.49907,                      1,                0.53365,                0.53365,                0.07819,                 0.7629,                0.62574,             0.00094911,             0.00094911,             0.00094911
                     89,                0.07608,                0.74237,                0.86513,                0.49853,                      1,                0.53859,                0.53846,                0.08856,                 0.7439,                0.63355,             0.00094085,             0.00094085,             0.00094085
                     90,                0.07945,                0.74455,                0.86757,                0.49803,                      1,                0.52674,                0.52304,                0.07248,                  0.746,                0.76082,              0.0009326,              0.0009326,              0.0009326
                     91,                0.07575,                0.74026,                0.85891,                 0.4951,                      1,                0.53214,                0.53213,                0.06745,                  0.737,                0.71728,             0.00092435,             0.00092435,             0.00092435
                     92,                0.09703,                0.75836,                0.89086,                0.49715,                      1,                0.52042,                0.51905,                0.06972,                 0.7566,                0.74721,              0.0009161,              0.0009161,              0.0009161
                     93,                0.07879,                0.74486,                0.86347,                0.49602,                      1,                0.52467,                 0.5244,                0.09327,                0.75344,                0.76242,             0.00090785,             0.00090785,             0.00090785
                     94,                0.07383,                0.74722,                0.86065,                0.49762,                      1,                0.51507,                0.51488,                0.06503,                0.74556,                0.76103,              0.0008996,              0.0008996,              0.0008996
                     95,                 0.0754,                0.74394,                0.86714,                0.49787,                0.99861,                0.52494,                0.52494,                0.07226,                0.73767,                0.74661,             0.00089134,             0.00089134,             0.00089134
                     96,                0.07346,                0.74031,                 0.8579,                0.49866,                      1,                 0.5372,                0.53719,                0.07743,                0.72625,                0.79941,             0.00088309,             0.00088309,             0.00088309
                     97,                0.07353,                0.74095,                0.86396,                0.49972,                      1,                0.54411,                0.54201,                0.06893,                0.72531,                0.80967,             0.00087484,             0.00087484,             0.00087484
                     98,                0.07817,                0.74515,                0.87446,                 0.4589,                 0.9737,                0.52818,                0.52713,                0.07209,                0.81714,                 0.7898,             0.00086659,             0.00086659,             0.00086659
                     99,                0.06804,                0.74056,                0.86075,                0.49795,                0.99727,                0.52771,                0.52705,                0.06251,                0.72921,                0.83671,             0.00085834,             0.00085834,             0.00085834
