                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                 0.0608,                0.74191,                0.86426,                0.49858,                      1,                0.55368,                0.55362,                0.09699,                0.73495,                0.44083,             0.00089134,             0.00089134,             0.00089134
                     96,                0.06381,                0.74563,                0.85807,                0.49961,                      1,                0.54121,                 0.5412,                0.12707,                0.78779,                0.45153,             0.00088309,             0.00088309,             0.00088309
                     97,                0.06541,                0.74708,                 0.8625,                 0.4998,                      1,                0.53517,                0.53477,                0.10518,                 0.7489,                0.44369,             0.00087484,             0.00087484,             0.00087484
                     98,                0.06651,                0.75054,                0.86456,                0.49987,                0.99959,                0.53612,                0.53611,                0.09831,                0.74865,                0.43625,             0.00086659,             0.00086659,             0.00086659
                     99,                0.06352,                0.74564,                0.86128,                0.49974,                      1,                0.55245,                0.55142,                0.11095,                0.75133,                0.45199,             0.00085834,             0.00085834,             0.00085834
                    100,                 0.0626,                0.74696,                0.86001,                0.49833,                0.99909,                0.53099,                0.53099,                0.11056,                0.75966,                0.45361,             0.00085009,             0.00085009,             0.00085009
                    101,                0.05903,                0.74615,                0.85664,                0.49968,                      1,                0.54887,                0.54882,                 0.1037,                0.74359,                0.44744,             0.00084184,             0.00084184,             0.00084184
                    102,                0.06509,                 0.7449,                0.85775,                0.49964,                0.99769,                0.56325,                0.56325,                0.11848,                0.74326,                 0.4627,             0.00083358,             0.00083358,             0.00083358
                    103,                0.06277,                0.74468,                0.86095,                0.49976,                0.99958,                0.54276,                0.54276,                0.09011,                0.74577,                0.42443,             0.00082533,             0.00082533,             0.00082533
                    104,                0.06045,                0.74514,                0.85964,                0.49982,                      1,                0.54815,                0.54812,                0.08993,                0.73302,                0.43004,             0.00081708,             0.00081708,             0.00081708
                    105,                0.05961,                0.74149,                0.86511,                0.49786,                0.99769,                0.54969,                0.54969,                0.07869,                0.73657,                0.41294,             0.00080883,             0.00080883,             0.00080883
                    106,                0.06045,                0.74285,                0.86343,                0.49942,                      1,                0.54885,                0.54882,                0.08402,                0.73891,                0.42467,             0.00080058,             0.00080058,             0.00080058
